,time_step,output,error,control_input
58,58,1.0000001466274056,-1.8550018809904145e-07,0.9999999911362754
59,59,1.0000001158568261,-1.4662740555060338e-07,0.999999992774508
60,60,1.0000000915118479,-1.1585682613279857e-07,0.9999999941319351
61,61,1.000000072259437,-9.151184787725697e-08,0.9999999952497943
62,62,1.0000000570406695,-7.225943710054139e-08,0.9999999961655994
63,63,1.0000000450150468,-5.704066952105791e-08,0.9999999969125555
64,64,1.0000000355159324,-4.5015046801211156e-08,0.9999999975194741
65,65,1.0000000280149421,-3.551593241724049e-08,0.9999999980109808
66,66,1.0000000220935286,-2.801494214388356e-08,0.999999998407874
67,67,1.0000000174203336,-2.209352856219482e-08,0.9999999987275541
68,68,1.0000000137331602,-1.742033362006623e-08,0.999999998984466
69,69,1.000000010824633,-1.3733160164619562e-08,0.9999999991905241
70,70,1.000000008530807,-1.0824632967754155e-08,0.9999999993555021
71,71,1.0000000067221217,-8.530806949735847e-09,0.999999999487381
72,72,1.000000005296228,-6.722121748126142e-09,0.9999999995926528
73,73,1.000000004172298,-5.29622790068629e-09,0.9999999996765779
74,74,1.0000000032865202,-4.172298062599111e-09,0.9999999997434079
75,75,1.0000000025885303,-3.2865201671228306e-09,0.9999999997965703
76,76,1.0000000020385882,-2.588530279012957e-09,0.9999999998388202
77,77,1.0000000016053445,-2.0385881871476386e-09,0.9999999998723694
78,78,1.0000000012640733,-1.6053445239805342e-09,0.9999999998989887
79,79,1.0000000009952776,-1.2640732904856122e-09,0.999999999920095
80,80,1.0000000007835859,-9.952776380828254e-10,0.9999999999368189
81,81,1.0000000006168812,-7.835858628624237e-10,0.9999999999500631
82,82,1.0000000004856142,-6.16881212778253e-10,0.9999999999605456
83,83,1.000000000382259,-4.856142155063026e-10,0.9999999999688378
84,84,1.0000000003008864,-3.822588912072433e-10,0.9999999999753955
85,85,1.0000000002368248,-3.00886426884972e-10,0.9999999999805781
86,86,1.0000000001863945,-2.368247820072611e-10,0.9999999999846736
87,87,1.0000000001466973,-1.8639445542589783e-10,0.9999999999879086
88,88,1.0000000001154505,-1.4669732095740073e-10,0.9999999999904625
89,89,1.0000000000908562,-1.1545053801853555e-10,0.9999999999924785
90,90,1.0000000000714988,-9.085621144322431e-11,0.9999999999940695
91,91,1.000000000056264,-7.149880687506993e-11,0.999999999995325
92,92,1.0000000000442744,-5.626410448655861e-11,0.9999999999963152
93,93,1.0000000000348388,-4.427436195442169e-11,0.999999999997096
94,94,1.0000000000274134,-3.483879851273741e-11,0.9999999999977117
95,95,1.0000000000215703,-2.741340487943944e-11,0.9999999999981972
